SYMBOL,NAME,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHNG,%CHNG,VOLUME (shares),VALUE (₹ Crores),52W H,52W L,30 D %CHNG
NIFTY 50,NIFTY 50 Index,25149.50,25151.10,25001.95,25149.85,25082.30,-,-67.55,-0.27,25953624,23316.19,26277.35,21743.65,1.74
ETERNAL,Eternal Biotech Ltd,264.95,277.75,262.30,263.35,271.00,-,7.65,2.90,50184664,1360.10,304.70,194.80,5.73
TITAN,Titan Company Limited,3372.00,3410.00,3344.00,3361.60,3402.00,-,40.40,1.20,755781,255.48,3867.00,2925.00,-1.76
HDFCLIFE,HDFC Life Insurance Company Limited,755.20,767.45,753.00,759.00,767.00,-,8.00,1.05,1794592,136.63,820.75,584.30,0.82
ONGC,Oil and Natural Gas Corporation Limited,242.90,244.89,241.14,241.76,244.15,-,2.39,0.99,7568906,184.22,345.00,205.00,-3.88
GRASIM,Grasim Industries Limited,2774.00,2809.00,2755.10,2762.00,2789.00,-,27.00,0.98,2913912,811.36,2896.00,2276.95,3.69
INDUSINDBK,IndusInd Bank Limited,858.80,873.50,857.45,858.85,865.95,-,7.10,0.83,3605770,312.40,1498.00,606.00,5.14
SBILIFE,SBI Life Insurance Company Limited,1843.00,1856.30,1831.70,1835.20,1850.00,-,14.80,0.81,1231109,227.06,1936.00,1372.55,4.56
COALINDIA,Coal India Limited,382.00,385.90,381.50,380.95,383.90,-,2.95,0.77,5109504,195.89,543.55,349.25,-2.62
ADANIENT,Adani Enterprises Limited,2555.00,2604.80,2543.50,2558.70,2578.00,-,19.30,0.75,536585,138.26,3258.00,2025.00,2.03
M&M,Mahindra & Mahindra Limited,3072.80,3104.80,3053.60,3073.20,3093.20,-,20.00,0.65,2958843,914.03,3270.95,2425.00,2.24
HEROMOTOCO,Hero MotoCorp Limited,4219.00,4259.00,4197.20,4218.70,4244.80,-,26.10,0.62,293675,124.23,6246.25,3344.00,-2.66
ITC,ITC Limited,417.05,419.95,416.55,416.80,419.35,-,2.55,0.61,6896989,288.91,528.50,390.15,0.70
SUNPHARMA,Sun Pharmaceutical Industries Limited,1680.40,1696.90,1675.50,1672.00,1681.70,-,9.70,0.58,1309704,220.87,1960.35,1550.00,-0.94
APOLLOHOSP,Apollo Hospitals Enterprise Limited,7200.00,7256.50,7173.00,7189.50,7215.00,-,25.50,0.35,670246,484.08,7635.00,6001.00,2.79
SHRIRAMFIN,Shriram Finance Limited,670.00,672.90,662.50,668.25,670.30,-,2.05,0.31,2832157,189.22,730.45,493.35,0.16
JSWSTEEL,JSW Steel Limited,1040.00,1044.90,1031.80,1037.20,1040.40,-,3.20,0.31,1238524,128.47,1074.90,854.15,5.06
TATASTEEL,Tata Steel Limited,159.84,161.12,159.30,159.84,160.25,-,0.41,0.26,15152964,242.78,170.95,122.62,5.07
ULTRACEMCO,UltraTech Cement Limited,12495.00,12579.00,12430.00,12495.00,12520.00,-,25.00,0.20,278918,348.88,12667.00,10047.85,11.32
BAJAJ-AUTO,Bajaj Auto Limited,8090.00,8120.00,8035.50,8067.00,8080.00,-,13.00,0.16,248351,200.77,12774.00,7089.35,-4.68
ADANIPORTS,Adani Ports and Special Economic Zone Limited,1432.00,1446.50,1426.10,1431.70,1433.00,-,1.30,0.09,718442,103.07,1604.95,995.65,1.90
BHARTIARTL,Bharti Airtel Limited,1915.00,1927.50,1900.20,1921.90,1923.10,-,1.20,0.06,5269381,1007.67,2045.80,1421.45,4.43
SBIN,State Bank of India,809.80,815.50,808.00,808.65,809.10,-,0.45,0.06,6938635,562.45,899.00,680.00,2.06
ICICIBANK,ICICI Bank Limited,1424.90,1424.90,1416.10,1421.90,1421.90,-,-,-,5846154,830.86,1471.60,1153.00,0.41
HDFCBANK,HDFC Bank Limited,1983.00,1988.70,1970.60,1983.70,1982.90,-,-0.80,-0.04,6544425,1295.00,2027.10,1588.05,3.45
AXISBANK,Axis Bank Limited,1179.00,1179.90,1163.00,1173.80,1172.90,-,-0.90,-0.08,4772502,559.07,1339.65,933.50,-2.65
HINDUNILVR,Hindustan Unilever Limited,2500.00,2532.50,2490.00,2519.60,2517.40,-,-2.20,-0.09,2427712,610.03,3035.00,2136.00,8.65
CIPLA,Cipla Limited,1488.90,1492.50,1476.00,1485.00,1482.90,-,-2.10,-0.14,1554680,231.00,1702.05,1335.00,-1.34
POWERGRID,Power Grid Corporation of India Limited,299.50,300.45,297.45,298.55,297.85,-,-0.70,-0.23,5484223,163.79,366.25,247.30,4.57
DRREDDY,Dr. Reddy's Laboratories Limited,1254.70,1261.40,1245.30,1254.70,1251.80,-,-2.90,-0.23,1035555,129.73,1421.49,1020.00,-7.91
MARUTI,Maruti Suzuki India Limited,12590.00,12616.00,12431.00,12574.00,12534.00,-,-40.00,-0.32,246737,308.66,13680.00,10725.00,1.34
NTPC,NTPC Limited,343.05,345.00,339.95,342.70,341.50,-,-1.20,-0.35,11516965,394.53,448.45,292.80,3.24
BEL,Bharat Electronics Limited,405.50,410.35,405.15,409.30,407.50,-,-1.80,-0.44,17844425,727.05,436.00,240.25,3.83
NESTLEIND,Nestle India Limited,2405.30,2414.70,2377.00,2403.50,2393.00,-,-10.50,-0.44,471457,112.73,2778.00,2110.00,1.12
TATACONSUM,Tata Consumer Products Limited,1076.80,1083.50,1070.00,1076.80,1071.00,-,-5.80,-0.54,770739,82.84,1250.10,882.90,-0.15
RELIANCE,Reliance Industries Limited,1492.20,1500.00,1479.10,1495.20,1486.40,-,-8.80,-0.59,10311846,1534.14,1605.85,1114.85,4.71
HINDALCO,Hindalco Industries Limited,671.00,680.55,665.00,670.95,666.90,-,-4.05,-0.60,4338084,290.97,772.65,546.45,4.54
KOTAKBANK,Kotak Mahindra Bank Limited,2223.90,2227.00,2197.30,2220.60,2206.60,-,-14.00,-0.63,2395337,528.87,2301.90,1679.05,5.37
BAJAJFINSV,Bajaj Finserv Limited,2010.00,2015.00,1989.00,2017.20,2000.20,-,-17.00,-0.84,605261,121.08,2135.00,1523.25,0.31
TRENT,Trent Limited,5368.00,5393.00,5287.50,5364.00,5313.00,-,-51.00,-0.95,829406,441.37,8345.00,4488.00,-4.04
TATAMOTORS,Tata Motors Limited,681.00,681.00,672.00,681.80,674.80,-,-7.00,-1.03,7748550,523.98,1179.00,535.75,-4.25
TCS,Tata Consultancy Services Limited,3266.00,3272.00,3200.00,3266.00,3227.50,-,-38.50,-1.18,3924009,1265.38,4592.25,3056.05,-5.22
EICHERMOT,Eicher Motors Limited,5606.50,5615.50,5520.50,5612.50,5541.50,-,-71.00,-1.27,503684,279.13,5906.50,4508.75,5.52
LT,Larsen & Toubro Limited,3540.60,3548.70,3488.00,3540.60,3493.90,-,-46.70,-1.32,1358844,475.42,3963.50,2965.30,-1.30
ASIANPAINT,Asian Paints Limited,2431.10,2448.60,2391.00,2439.20,2404.80,-,-34.40,-1.41,891624,214.56,3394.90,2124.75,10.16
BAJFINANCE,Bajaj Finance Limited,932.00,932.00,911.30,933.50,920.00,-,-13.50,-1.45,6657978,611.60,978.80,642.50,-90.00
HCLTECH,HCL Technologies Limited,1640.00,1642.40,1607.00,1638.30,1613.50,-,-24.80,-1.51,3334703,539.47,2012.20,1302.75,-3.36
INFY,Infosys Limited,1591.80,1591.80,1559.80,1594.90,1570.50,-,-24.40,-1.53,9173426,1439.66,2006.45,1307.00,-0.44
WIPRO,Wipro Limited,258.30,259.55,251.65,258.30,254.25,-,-4.05,-1.57,10388421,264.01,324.60,228.00,-0.73
TECHM,Tech Mahindra Limited,1598.00,1598.00,1564.10,1602.50,1575.00,-,-27.50,-1.72,2068336,326.39,1807.70,1209.40,-3.41
JIOFIN,Jio Financial Services Limited,325.00,327.70,317.65,325.80,319.30,-,-6.50,-2.00,17980889,578.01,363.00,198.65,10.80
